FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTOR ID,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
SU Carrier Dome Stand #268          ,"900 Irving AVENUE,  Syracuse",09/12/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,900 Irving AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Carrier Dome Stand #268,01/31/2017,,Syracuse University,Gallipeau,Jean,292992,Inspection,,,NY,"(43.037568, -76.13832)"
St. Stephen Lutheran Church         ,"873 Dewitt STREET,  Syracuse",10/14/2015,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ,0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,873 Dewitt STREET,Syracuse,13203    ,330100,SYRACUSE,St. Stephen Lutheran Church,01/31/2017,,St. Stephen Lutheran Church,Stedman,Charles,539344,Inspection,,Co-inspector JBG,NY,"(43.070722, -76.134431)"
Westvale Fish Cove                  ,"2130 WEST Genesee STREET,  Syracuse",04/29/2016,"Item  5C-  Critical Violation [RED] Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",1,0,2,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,2130 WEST Genesee STREET,Syracuse,13219    ,335600,GEDDES,Westvale Fish Cove,01/31/2017,,Clear Water Seafood Corp.,Nevil,Tracy,292976,Inspection,,Establishment has probe/metal-stem type thermometer onsite as required.,NY,"(43.048104, -76.197331)"
Howlett Hill Fire Department        ,"3384 Howlett Hill ROAD,  Syracuse",10/22/2015,Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; ,1,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,3384 Howlett Hill ROAD,Syracuse,13215    ,336100,ONONDAGA,Howlett Hill Fire Department,01/31/2017,,"Howlett Hill Fire Dept, Inc.",,,292810,Inspection,,Facility during inspection had a group event going on so I did not get signature.,NY,"(42.98577, -76.20813)"
Syracuse Suds Factory (The)         ,"320 SOUTH Clinton STREET,  Syracuse",10/27/2015,"Item  1H-  Critical Violation [RED] Food from unapproved source, spoiled, adulterated on premises.; Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item  9C-   Hair is improperly restrained; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",2,0,7,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,320 SOUTH Clinton STREET,Syracuse,13202    ,330100,SYRACUSE,Syracuse Suds Factory (The),01/31/2017,,"A.J. Suds, Inc.",B-Smith,Alam,294205,Inspection,,,NY,"(43.0485, -76.153635)"
Liberty Deli                        ,"323 Irving AVENUE,  Syracuse",10/28/2015,Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; ,2,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,323 Irving AVENUE,Syracuse,13210    ,330100,SYRACUSE,Liberty Deli,01/31/2017,,"Liberty Deli of Syracuse, Inc.",Paunovski,Diane,293146,Inspection,,,NY,"(43.047475, -76.137657)"
PEACE Inc Sr. Nut @ Villa Scalabrini,"825 EAST Willow STREET,  Syracuse",05/10/2016,No violations found.,0,0,0,SOFA Food Service - SOFA Prep Site-State Office for the Aging,Onondaga County,ONONDAGA,825 EAST Willow STREET,Syracuse,13203    ,330100,SYRACUSE,"PEACE, Inc. Sr. Nutrition @ Villa Scalabrini ",01/31/2017,,"P.E.A.C.E., Inc. Senior Nutrition Program",O'Hara,Joseph,797206,Inspection,,"Conditions satisfactory at this time. Food temps as follows;  Chicken dish 174degF, Rice 170degF, Vegetables 143degF-all in Cambro hot hold.",NY,"(43.056151, -76.143207)"
China House East                    ,"4114  WEST Genesee STREET,  Syracuse",03/13/2015,"Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,6,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,4114  WEST Genesee STREET,Syracuse,13219    ,335000,CAMILLUS,China House East,01/31/2017,,,Chau,Kit,688029,Inspection,,,NY,"(43.046061, -76.242888)"
Provisions                          ,"216 Walton STREET,  Syracuse",05/01/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,216 Walton STREET,Syracuse,13202    ,330100,SYRACUSE,Provisions,01/31/2017,,"Access CNY, Inc.",Catalino,Susan,292684,Inspection,,,NY,"(43.048037, -76.156294)"
Pope's Grove Golf Course            ,"695 State Fair BOULEVARD,  Syracuse",05/22/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,695 State Fair BOULEVARD,Syracuse,13209    ,335600,GEDDES,Pope's Grove Golf Course,01/31/2017,,Pope's Grove Inc,Pope-Millet,Susan,292910,Inspection,,**Note: Establishment noted operating satisfactorily at this time.  Establishment has probe/metal-stem type thermometer.,NY,"(43.082652, -76.231021)"
SU iCafe                            ,"110 Smith DRIVE,  Syracuse",04/29/2015,"Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.; ",1,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,110 Smith DRIVE,Syracuse,13244    ,330100,SYRACUSE,SU iCafe,01/31/2017,,Syracuse University,Gallipeau,Jean,781940,Inspection,,,NY,"(43.038847, -76.132962)"
OCC Foodservice Curriculum          ,"4585 WEST Seneca TURNPIKE,  Syracuse",04/11/2016,Item 11D-   Non food contact surfaces of equipment not clean; ,0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,4585 WEST Seneca TURNPIKE,Syracuse,13215    ,336100,ONONDAGA,OCC Foodservice Curriculum,01/31/2017,,Onondaga Community College,Ford,Richard,292892,Inspection,,,NY,"(43.001641, -76.194625)"
SU Newhouse Snack Bar               ,"215 University AVENUE,  Syracuse",03/21/2016,"Item  1D-  Critical Violation [RED] Canned foods found in poor conditions (leakers, severe dents, rusty, swollen cans); Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; ",2,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,215 University AVENUE,Syracuse,13244    ,330100,SYRACUSE,SU Newhouse Snack Bar,01/31/2017,,Syracuse University,Gallipeau,Jean,294073,Inspection,,,NY,"(43.049171, -76.134189)"
Oriental Kitchen                    ,"1113 EAST Fayette STREET,  Syracuse",05/12/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",0,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1113 EAST Fayette STREET,Syracuse,13210    ,330100,SYRACUSE,Oriental Kitchen,01/31/2017,,Oriental 2W Syracuse Inc.,Lin,Wei,803532,Inspection,,,NY,"(43.0485, -76.133936)"
Food Bank of CNY Boys & Girls Club  ,"2100 EAST Fayette STREET,  Syracuse",06/15/2015,Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; ,1,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,2100 EAST Fayette STREET,Syracuse,13224    ,330100,SYRACUSE,Food Bank of CNY at Boys & Girls Club,01/31/2017,,Food Bank of Central New York,Hudson,Heather,718051,Inspection,,,NY,"(43.048134, -76.113597)"
Luigi's Pizza & Sandwich Shop       ,"1524 Valley DRIVE,  Syracuse",06/23/2015,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",0,0,3,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1524 Valley DRIVE,Syracuse,13207    ,330100,SYRACUSE,Luigi's Pizza & Sandwich Shop,01/31/2017,,,Savastino,Louis,292683,Inspection,,**Note: Establishment has probe/metal-stem type thermometer.,NY,"(43.002955, -76.153262)"
Biscotti Cafe & Pastry Shop         ,"741 NORTH Salina STREET,  Syracuse",02/09/2016,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,7,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,741 NORTH Salina STREET,Syracuse,13204    ,330100,SYRACUSE,Biscotti Cafe & Pastry Shop,01/31/2017,,"Biscotti Cafe & Pastry Shop, Inc.",Camie,Geoffrey,537583,Inspection,,,NY,"(43.060985, -76.153573)"
Funk N' Waffles                     ,"727 SOUTH Crouse AVENUE,  Syracuse",05/18/2016,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",3,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,727 SOUTH Crouse AVENUE,Syracuse,13210    ,330100,SYRACUSE,Funk N' Waffles,01/31/2017,,"Funk N' Waffles, LLC",Gold,Adam,561291,Inspection,,,NY,"(43.04235, -76.136551)"
Cam's Pizzeria                      ,"1135 Salt Springs  ROAD,  Syracuse",04/05/2016,"Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11D-   Non food contact surfaces of equipment not clean; ",1,0,5,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1135 Salt Springs  ROAD,Syracuse,13224    ,330100,SYRACUSE,Cam's Pizzeria,01/31/2017,,"Lemoyne CNYP, Inc.",Calascibetta,Anthony,743070,Inspection,,,NY,"(43.047697, -76.094735)"
Refuge Tabernacle C.O.G.I.C.        ,"311 Oakwood AVENUE,  Syracuse",07/19/2012,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,311 Oakwood AVENUE,Syracuse,13202    ,330100,SYRACUSE,Refuge Tabernacle C.O.G.I.C.,,,,,,662158,Inspection,,,NY,"(43.037105, -76.145444)"
Elmcrest Children's Center          ,"960 Salt Springs Road,  Syracuse",04/15/2016,"Item  2A-  Critical Violation [RED] Prepared food products contact equipment or work surfaces which have had prior contact with raw foods and where washing and sanitizing of the food contact surface has not occurred to prevent contamination; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11D-   Non food contact surfaces of equipment not clean; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; ",1,0,4,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,960 Salt Springs Road  ,Syracuse,13224    ,330100,SYRACUSE,Elmcrest Children's Center,12/31/2018,,Elmcrest Children's Center,Earl,Gregory,788210,Inspection,,,NY,"(43.046998, -76.098419)"
VanDuyn Elementary School           ,"401 LOOMIS AVENUE,  SYRACUSE",03/08/2016,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,401 LOOMIS AVENUE,SYRACUSE,13207    ,330100,SYRACUSE,VanDuyn Elementary School,12/31/2016,,Syracuse City School District,Warner,Ken,536680,Inspection,,,NY,"(43.006939, -76.153338)"
Abdullah Muslim Islamic Center      ,"127 WEST Brighton AVENUE,  Syracuse",10/27/2014,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; ",1,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,127 WEST Brighton AVENUE,Syracuse,13205    ,330100,SYRACUSE,Abdullah Muslim Islamic Center,01/31/2017,,Abdullah Muslim Islamic Center,Davis,Thomas,718444,Inspection,,,NY,"(43.020464, -76.144507)"
Clinton Square Ice Rink Concession  ,"2 Clinton SQUARE,  Syracuse",01/26/2016,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,2,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,2 Clinton SQUARE,Syracuse,13204    ,330100,SYRACUSE,Clinton Square Ice Rink Concession Stand,01/31/2017,,City of Syr. Dep. of Parks & Rec./Youth Program,Roach,Mary Beth,539360,Inspection,,,NY,"(43.050833, -76.153597)"
Pensabene's Casa Grande             ,"135 State Fair BOULEVARD,  Syracuse",03/16/2016,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; ",0,0,2,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,135 State Fair BOULEVARD,Syracuse,13204    ,330100,SYRACUSE,Pensabene's Casa Grande,01/31/2017,,"Pensabene Brothers, LLC",Pensabene,Terry,542626,Inspection,,,NY,"(43.053124, -76.180705)"
